,title,description,guid,link,pubDate,visits
0,Snap Stock Plunges and Takes Meta and Twitter Down With It,"Shares of Facebook parent  Meta Platforms  and other social-media stocks tumbled in premarket trading Friday after  Snap  reported slower growth in the second quarter, leading to larger worries about online advertising.  Snap  (ticker: SNAP), the parent of Snapchat, reported that revenue rose 13% in the second quarter from a year earlier to $1.11 billion.  Snap, however, did say that third-quarter revenue was “approximately flat.”",d2f3550d-c83a-3a76-9540-ca742e2f91a9,https://finance.yahoo.com/m/d2f3550d-c83a-3a76-9540-ca742e2f91a9/snap-stock-plunges-and-takes.html?.tsrc=rss,"Fri, 22 Jul 2022 13:08:00 +0000",214
1,Snap Plunges After Advertiser Slump Crushes Quarterly Sales,"(Bloomberg) -- Snap Inc. stock cratered after the company reported disappointing sales, roiled by a major slowdown in ad spending and rising competition for dwindling marketing dollars. Shares of Meta Platforms Inc. and Alphabet Inc. fell in tandem.Most Read from BloombergAmericans Who Can’t Afford Homes Are Moving to Europe InsteadMusk Lieutenant Scrutinized in Internal Tesla Purchasing ProbeThese Are the World’s Most (and Least) Powerful Passports in 2022Three Arrows Founders Break Silence Ove",e0de7753-90bc-3c50-8278-bf76f31c8a2b,https://finance.yahoo.com/news/snap-plunges-advertiser-slump-crushes-230601893.html?.tsrc=rss,"Fri, 22 Jul 2022 12:32:55 +0000",609
2,‘Awful’ Snap Sales Wipe $76 Billion From Social Media Stocks,"(Bloomberg) -- US social-media companies are poised to see more than $76 billion wiped off their stock-market values Friday, after disappointing revenue from Snap Inc. and a lackluster report from Twitter Inc. raised concerns about the outlook for online advertising.Most Read from BloombergAmericans Who Can’t Afford Homes Are Moving to Europe InsteadMusk Lieutenant Scrutinized in Internal Tesla Purchasing ProbeThese Are the World’s Most (and Least) Powerful Passports in 2022Three Arrows Founders",923d8936-b2f9-3bef-99eb-17aa497c7699,https://finance.yahoo.com/news/meta-alphabet-knocked-down-snap-210613092.html?.tsrc=rss,"Fri, 22 Jul 2022 12:20:26 +0000",787
3,'Don't see it in my numbers': American Express CEO doubts recession fears,"Yahoo Finance chatted with American Express CEO Stephen Squeri fresh off the company's latest earnings, and the exec doesn't see recession fears in his company's latest report.",79c53298-3983-4ba0-9047-d4715d12c43a,https://finance.yahoo.com/news/american-express-ceo-recession-121344434.html?.tsrc=rss,"Fri, 22 Jul 2022 12:13:44 +0000",999
4,Warren Buffett Loves These Stocks. Are They Right for You?,"Purchases and sales of stocks made by active institutional investors reveal how they see the market and the economy.  Warren Buffett's illustrious investing holding company Berkshire Hathaway (NYSE: BRK.A)(NYSE: BRK.B) has made interesting trades lately; upping its stake in oil stocks with Occidental Petroleum (NYSE: OXY), opening a new banking position in Citigroup (NYSE: C), and continuing to build its monster stake in Apple (NASDAQ: AAPL).",e0590401-34d3-37f4-9894-e2715df49bd0,https://finance.yahoo.com/m/e0590401-34d3-37f4-9894-e2715df49bd0/warren-buffett-loves-these.html?.tsrc=rss,"Fri, 22 Jul 2022 11:29:00 +0000",131
5,3 Warren Buffett Stocks Down 15% to 36% to Buy Right Now,"Warren Buffett learned a lot from his mentor, Benjamin Graham.  One of the most important of those lessons was Graham's insistence that ""In the short run, the market is a voting machine, but in the long run, it is a weighing machine.""  The idea is that share prices over the short term reflect investors' fickle view, but share prices over the long term reflect the quality of the underlying businesses.",c710fd61-0b39-38c0-990e-2a1bc8fbc98d,https://finance.yahoo.com/m/c710fd61-0b39-38c0-990e-2a1bc8fbc98d/3-warren-buffett-stocks-down.html?.tsrc=rss,"Fri, 22 Jul 2022 09:52:00 +0000",785
6,Groups Push Schumer to Recuse Himself From Big Tech Legislation,"(Bloomberg) -- A coalition of progressive groups is calling on Senate Majority Leader Chuck Schumer to recuse himself from legislation intended to crack down on technology giants, saying he has a conflict of interest because his daughters work at Amazon.com Inc. and Meta Platforms Inc. Most Read from BloombergAmericans Who Can’t Afford Homes Are Moving to Europe InsteadMusk Lieutenant Scrutinized in Internal Tesla Purchasing ProbeThese Are the World’s Most (and Least) Powerful Passports in 2022T",49aaa422-77ac-35f2-8feb-59f804494580,https://finance.yahoo.com/news/groups-push-schumer-recuse-himself-090000394.html?.tsrc=rss,"Fri, 22 Jul 2022 09:00:00 +0000",150
7,"Apple: Don’t Underestimate the Continued Growth Story, Says Analyst","Earnings season is now in full swing, but most of the big hitters at Wall Street’s quarterly extravaganza will report the period’s financials next week. And so will the biggest of them all; Apple (AAPL) will deliver its third fiscal quarter results (June quarter) after the close on July 28th (Thursday). Wedbush's Daniel Ives thinks Apple will be able to meet expectations despite the “albatross” hanging round its neck. Recall, according to the company’s guidance, the Covid lockdowns in China are",9e44a5c6-5aea-3d4e-a042-b7c4a7856dfc,https://finance.yahoo.com/news/apple-don-t-underestimate-continued-000455053.html?.tsrc=rss,"Fri, 22 Jul 2022 00:04:55 +0000",857
8,"QCOM Stock, Apple Surge Off Lows Ahead Of Quarterly Earnings Reports","QCOM stock has been in rally mode ahead of its quarterly earnings report, which is expected to show another quarter of strong growth.",911d656a-bebe-35da-ba14-7a70b9f652f5,https://finance.yahoo.com/m/911d656a-bebe-35da-ba14-7a70b9f652f5/qcom-stock%2C-apple-surge-off.html?.tsrc=rss,"Thu, 21 Jul 2022 22:46:05 +0000",252
9,Snap Stock Is Down by Double Digits After Earnings. Meta Platforms Drops Too.,"Snap, the owner of the socia media app Snapchart, isn't providing a forecast of its performance for the current quarter.",595eb9bb-b4c6-3220-89a0-0fbf9d56946e,https://finance.yahoo.com/m/595eb9bb-b4c6-3220-89a0-0fbf9d56946e/snap-stock-is-down-by-double.html?.tsrc=rss,"Thu, 21 Jul 2022 21:16:00 +0000",302
